股票代码,证券代码(市场后缀),股票名称,交易日期,龙虎榜解读,收盘价(元),涨跌幅(%),龙虎榜净买额(元),龙虎榜买入额(元),龙虎榜卖出额(元),龙虎榜成交额(元),市场总成交额(元),净买额占总成交比(%),龙虎榜成交额占总成交比(%),换手率(%),流通市值(元),上榜原因,1日后涨跌幅(%),2日后涨跌幅(%),5日后涨跌幅(%),10日后涨跌幅(%),证券类型代码,原始字段
002207,002207.SZ,准油股份,2026-03-05 00:00:00,4家机构卖出，成功率34.27%,14.0,-6.853,-56312276.95,117146114.68,173458391.63,290604506.31,1556450468.0,-3.618,18.671,41.6057,3651366600.0,日振幅值达到15%的前5只证券,,,,,058001001,"{'SECURITY_CODE': '002207', 'SECUCODE': '002207.SZ', 'SECURITY_NAME_ABBR': '准油股份', 'TRADE_DATE': '2026-03-05 00:00:00', 'EXPLAIN': '4家机构卖出，成功率34.27%', 'CLOSE_PRICE': 14, 'CHANGE_RATE': -6.853, 'BILLBOARD_NET_AMT': -56312276.95, 'BILLBOARD_BUY_AMT': 117146114.68, 'BILLBOARD_SELL_AMT': 173458391.63, 'BILLBOARD_DEAL_AMT': 290604506.31, 'ACCUM_AMOUNT': 1556450468, 'DEAL_NET_RATIO': -3.617993512017, 'DEAL_AMOUNT_RATIO': 18.67097683381, 'TURNOVERRATE': 41.6057, 'FREE_MARKET_CAP': 3651366600, 'EXPLANATION': '日振幅值达到15%的前5只证券', 'D1_CLOSE_ADJCHRATE': None, 'D2_CLOSE_ADJCHRATE': None, 'D5_CLOSE_ADJCHRATE': None, 'D10_CLOSE_ADJCHRATE': None, 'SECURITY_TYPE_CODE': '058001001'}"
002207,002207.SZ,准油股份,2026-03-05 00:00:00,4家机构卖出，成功率34.27%,14.0,-6.853,-56312276.95,117146114.68,173458391.63,290604506.31,1556450468.0,-3.618,18.671,41.6057,3651366600.0,日换手率达到20%的前5只证券,,,,,058001001,"{'SECURITY_CODE': '002207', 'SECUCODE': '002207.SZ', 'SECURITY_NAME_ABBR': '准油股份', 'TRADE_DATE': '2026-03-05 00:00:00', 'EXPLAIN': '4家机构卖出，成功率34.27%', 'CLOSE_PRICE': 14, 'CHANGE_RATE': -6.853, 'BILLBOARD_NET_AMT': -56312276.95, 'BILLBOARD_BUY_AMT': 117146114.68, 'BILLBOARD_SELL_AMT': 173458391.63, 'BILLBOARD_DEAL_AMT': 290604506.31, 'ACCUM_AMOUNT': 1556450468, 'DEAL_NET_RATIO': -3.617993512017, 'DEAL_AMOUNT_RATIO': 18.67097683381, 'TURNOVERRATE': 41.6057, 'FREE_MARKET_CAP': 3651366600, 'EXPLANATION': '日换手率达到20%的前5只证券', 'D1_CLOSE_ADJCHRATE': None, 'D2_CLOSE_ADJCHRATE': None, 'D5_CLOSE_ADJCHRATE': None, 'D10_CLOSE_ADJCHRATE': None, 'SECURITY_TYPE_CODE': '058001001'}"
002272,002272.SZ,川润股份,2026-03-05 00:00:00,主力做T，成功率20.36%,21.01,-0.2848,-282475750.56,458877507.5,741353258.06,1200230765.56,3943749656.0,-7.1626,30.4337,48.2101,8120214736.48,日换手率达到20%的前5只证券,,,,,058001001,"{'SECURITY_CODE': '002272', 'SECUCODE': '002272.SZ', 'SECURITY_NAME_ABBR': '川润股份', 'TRADE_DATE': '2026-03-05 00:00:00', 'EXPLAIN': '主力做T，成功率20.36%', 'CLOSE_PRICE': 21.01, 'CHANGE_RATE': -0.2848, 'BILLBOARD_NET_AMT': -282475750.56, 'BILLBOARD_BUY_AMT': 458877507.5, 'BILLBOARD_SELL_AMT': 741353258.06, 'BILLBOARD_DEAL_AMT': 1200230765.56, 'ACCUM_AMOUNT': 3943749656, 'DEAL_NET_RATIO': -7.162618705532, 'DEAL_AMOUNT_RATIO': 30.433746313841, 'TURNOVERRATE': 48.2101, 'FREE_MARKET_CAP': 8120214736.48, 'EXPLANATION': '日换手率达到20%的前5只证券', 'D1_CLOSE_ADJCHRATE': None, 'D2_CLOSE_ADJCHRATE': None, 'D5_CLOSE_ADJCHRATE': None, 'D10_CLOSE_ADJCHRATE': None, 'SECURITY_TYPE_CODE': '058001001'}"
002339,002339.SZ,积成电子,2026-03-05 00:00:00,4家机构买入，成功率36.72%,12.69,9.9653,81933070.89,253703467.75,171770396.86,425473864.61,1850008977.0,4.4288,22.9985,24.8881,6075890834.76,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,,058001001,"{'SECURITY_CODE': '002339', 'SECUCODE': '002339.SZ', 'SECURITY_NAME_ABBR': '积成电子', 'TRADE_DATE': '2026-03-05 00:00:00', 'EXPLAIN': '4家机构买入，成功率36.72%', 'CLOSE_PRICE': 12.69, 'CHANGE_RATE': 9.9653, 'BILLBOARD_NET_AMT': 81933070.89, 'BILLBOARD_BUY_AMT': 253703467.75, 'BILLBOARD_SELL_AMT': 171770396.86, 'BILLBOARD_DEAL_AMT': 425473864.61, 'ACCUM_AMOUNT': 1850008977, 'DEAL_NET_RATIO': 4.428793152283, 'DEAL_AMOUNT_RATIO': 22.998475677667, 'TURNOVERRATE': 24.8881, 'FREE_MARKET_CAP': 6075890834.76, 'EXPLANATION': '连续三个交易日内，涨幅偏离值累计达到20%的证券', 'D1_CLOSE_ADJCHRATE': None, 'D2_CLOSE_ADJCHRATE': None, 'D5_CLOSE_ADJCHRATE': None, 'D10_CLOSE_ADJCHRATE': None, 'SECURITY_TYPE_CODE': '058001001'}"
002339,002339.SZ,积成电子,2026-03-05 00:00:00,4家机构买入，成功率43.99%,12.69,9.9653,45878818.89,197903190.75,152024371.86,349927562.61,1496740230.0,3.0652,23.3793,24.8881,6075890834.76,日涨幅偏离值达到7%的前5只证券,,,,,058001001,"{'SECURITY_CODE': '002339', 'SECUCODE': '002339.SZ', 'SECURITY_NAME_ABBR': '积成电子', 'TRADE_DATE': '2026-03-05 00:00:00', 'EXPLAIN': '4家机构买入，成功率43.99%', 'CLOSE_PRICE': 12.69, 'CHANGE_RATE': 9.9653, 'BILLBOARD_NET_AMT': 45878818.89, 'BILLBOARD_BUY_AMT': 197903190.75, 'BILLBOARD_SELL_AMT': 152024371.86, 'BILLBOARD_DEAL_AMT': 349927562.61, 'ACCUM_AMOUNT': 1496740230, 'DEAL_NET_RATIO': 3.065249264396, 'DEAL_AMOUNT_RATIO': 23.37931162644, 'TURNOVERRATE': 24.8881, 'FREE_MARKET_CAP': 6075890834.76, 'EXPLANATION': '日涨幅偏离值达到7%的前5只证券', 'D1_CLOSE_ADJCHRATE': None, 'D2_CLOSE_ADJCHRATE': None, 'D5_CLOSE_ADJCHRATE': None, 'D10_CLOSE_ADJCHRATE': None, 'SECURITY_TYPE_CODE': '058001001'}"
002350,002350.SZ,北京科锐,2026-03-05 00:00:00,3家机构买入，成功率2.24%,14.23,6.8318,-104338764.66,302567838.81,406906603.47,709474442.28,3976801582.0,-2.6237,17.8403,19.2111,7549747432.33,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,,058001001,"{'SECURITY_CODE': '002350', 'SECUCODE': '002350.SZ', 'SECURITY_NAME_ABBR': '北京科锐', 'TRADE_DATE': '2026-03-05 00:00:00', 'EXPLAIN': '3家机构买入，成功率2.24%', 'CLOSE_PRICE': 14.23, 'CHANGE_RATE': 6.8318, 'BILLBOARD_NET_AMT': -104338764.66, 'BILLBOARD_BUY_AMT': 302567838.81, 'BILLBOARD_SELL_AMT': 406906603.47, 'BILLBOARD_DEAL_AMT': 709474442.28, 'ACCUM_AMOUNT': 3976801582, 'DEAL_NET_RATIO': -2.623685454468, 'DEAL_AMOUNT_RATIO': 17.840327902988, 'TURNOVERRATE': 19.2111, 'FREE_MARKET_CAP': 7549747432.33, 'EXPLANATION': '连续三个交易日内，涨幅偏离值累计达到20%的证券', 'D1_CLOSE_ADJCHRATE': None, 'D2_CLOSE_ADJCHRATE': None, 'D5_CLOSE_ADJCHRATE': None, 'D10_CLOSE_ADJCHRATE': None, 'SECURITY_TYPE_CODE': '058001001'}"
002471,002471.SZ,中超控股,2026-03-05 00:00:00,普通席位买入，成功率44.72%,9.04,9.9757,354368562.03,488871140.44,134502578.41,623373718.85,2010483367.0,17.626,31.0062,17.0161,12136866817.52,日涨幅偏离值达到7%的前5只证券,,,,,058001001,"{'SECURITY_CODE': '002471', 'SECUCODE': '002471.SZ', 'SECURITY_NAME_ABBR': '中超控股', 'TRADE_DATE': '2026-03-05 00:00:00', 'EXPLAIN': '普通席位买入，成功率44.72%', 'CLOSE_PRICE': 9.04, 'CHANGE_RATE': 9.9757, 'BILLBOARD_NET_AMT': 354368562.03, 'BILLBOARD_BUY_AMT': 488871140.44, 'BILLBOARD_SELL_AMT': 134502578.41, 'BILLBOARD_DEAL_AMT': 623373718.85, 'ACCUM_AMOUNT': 2010483367, 'DEAL_NET_RATIO': 17.626037989003, 'DEAL_AMOUNT_RATIO': 31.006161457589, 'TURNOVERRATE': 17.0161, 'FREE_MARKET_CAP': 12136866817.52, 'EXPLANATION': '日涨幅偏离值达到7%的前5只证券', 'D1_CLOSE_ADJCHRATE': None, 'D2_CLOSE_ADJCHRATE': None, 'D5_CLOSE_ADJCHRATE': None, 'D10_CLOSE_ADJCHRATE': None, 'SECURITY_TYPE_CODE': '058001001'}"
002498,002498.SZ,汉缆股份,2026-03-05 00:00:00,主力做T，成功率43.77%,8.94,9.9631,164667329.8,444430049.38,279762719.58,724192768.96,2433809642.0,6.7658,29.7555,1.9376,29741556240.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,,058001001,"{'SECURITY_CODE': '002498', 'SECUCODE': '002498.SZ', 'SECURITY_NAME_ABBR': '汉缆股份', 'TRADE_DATE': '2026-03-05 00:00:00', 'EXPLAIN': '主力做T，成功率43.77%', 'CLOSE_PRICE': 8.94, 'CHANGE_RATE': 9.9631, 'BILLBOARD_NET_AMT': 164667329.8, 'BILLBOARD_BUY_AMT': 444430049.38, 'BILLBOARD_SELL_AMT': 279762719.58, 'BILLBOARD_DEAL_AMT': 724192768.96, 'ACCUM_AMOUNT': 2433809642, 'DEAL_NET_RATIO': 6.765826174667, 'DEAL_AMOUNT_RATIO': 29.755522225842, 'TURNOVERRATE': 1.9376, 'FREE_MARKET_CAP': 29741556240, 'EXPLANATION': '连续三个交易日内，涨幅偏离值累计达到20%的证券', 'D1_CLOSE_ADJCHRATE': None, 'D2_CLOSE_ADJCHRATE': None, 'D5_CLOSE_ADJCHRATE': None, 'D10_CLOSE_ADJCHRATE': None, 'SECURITY_TYPE_CODE': '058001001'}"
002828,002828.SZ,贝肯能源,2026-03-05 00:00:00,4家机构卖出，成功率26.85%,14.78,-9.6577,-32794174.7,63182669.8,95976844.5,159159514.3,1027957442.0,-3.1902,15.4831,34.8858,2860845990.5,日跌幅偏离值达到7%的前5只证券,,,,,058001001,"{'SECURITY_CODE': '002828', 'SECUCODE': '002828.SZ', 'SECURITY_NAME_ABBR': '贝肯能源', 'TRADE_DATE': '2026-03-05 00:00:00', 'EXPLAIN': '4家机构卖出，成功率26.85%', 'CLOSE_PRICE': 14.78, 'CHANGE_RATE': -9.6577, 'BILLBOARD_NET_AMT': -32794174.7, 'BILLBOARD_BUY_AMT': 63182669.8, 'BILLBOARD_SELL_AMT': 95976844.5, 'BILLBOARD_DEAL_AMT': 159159514.3, 'ACCUM_AMOUNT': 1027957442, 'DEAL_NET_RATIO': -3.190226886844, 'DEAL_AMOUNT_RATIO': 15.483084006896, 'TURNOVERRATE': 34.8858, 'FREE_MARKET_CAP': 2860845990.5, 'EXPLANATION': '日跌幅偏离值达到7%的前5只证券', 'D1_CLOSE_ADJCHRATE': None, 'D2_CLOSE_ADJCHRATE': None, 'D5_CLOSE_ADJCHRATE': None, 'D10_CLOSE_ADJCHRATE': None, 'SECURITY_TYPE_CODE': '058001001'}"
002842,002842.SZ,翔鹭钨业,2026-03-05 00:00:00,4家机构卖出，成功率29.62%,41.82,-9.1857,-147790303.48,312828594.66,460618898.14,773447492.8,2950219071.0,-5.0095,26.2166,25.2893,11227093762.38,日振幅值达到15%的前5只证券,,,,,058001001,"{'SECURITY_CODE': '002842', 'SECUCODE': '002842.SZ', 'SECURITY_NAME_ABBR': '翔鹭钨业', 'TRADE_DATE': '2026-03-05 00:00:00', 'EXPLAIN': '4家机构卖出，成功率29.62%', 'CLOSE_PRICE': 41.82, 'CHANGE_RATE': -9.1857, 'BILLBOARD_NET_AMT': -147790303.48, 'BILLBOARD_BUY_AMT': 312828594.66, 'BILLBOARD_SELL_AMT': 460618898.14, 'BILLBOARD_DEAL_AMT': 773447492.8, 'ACCUM_AMOUNT': 2950219071, 'DEAL_NET_RATIO': -5.009468785988, 'DEAL_AMOUNT_RATIO': 26.216612196796, 'TURNOVERRATE': 25.2893, 'FREE_MARKET_CAP': 11227093762.38, 'EXPLANATION': '日振幅值达到15%的前5只证券', 'D1_CLOSE_ADJCHRATE': None, 'D2_CLOSE_ADJCHRATE': None, 'D5_CLOSE_ADJCHRATE': None, 'D10_CLOSE_ADJCHRATE': None, 'SECURITY_TYPE_CODE': '058001001'}"
